Close;Data;Day;Week
28.048;25.06.2000;2500;358
27.975;02.07.2000;2507;359
27.833;09.07.2000;2514;360
27.619;16.07.2000;2521;361
27.799;23.07.2000;2528;362
27.724;30.07.2000;2535;363
27.685;06.08.2000;2542;364
27.719;13.08.2000;2549;365
27.700;20.08.2000;2556;366
27.746;27.08.2000;2563;367
27.860;03.09.2000;2570;368
27.721;10.09.2000;2577;369
27.818;17.09.2000;2584;370
27.761;24.09.2000;2591;371
27.930;01.10.2000;2598;372
27.843;08.10.2000;2605;373
27.937;15.10.2000;2612;374
27.810;22.10.2000;2619;375
27.834;29.10.2000;2626;376
27.805;05.11.2000;2633;377
27.798;12.11.2000;2640;378
27.885;19.11.2000;2647;379
27.863;26.11.2000;2654;380
27.970;03.12.2000;2661;381
27.949;10.12.2000;2668;382
27.955;17.12.2000;2675;383
28.140;24.12.2000;2682;384
28.420;31.12.2000;2689;385
28.300;07.01.2001;2696;386
28.344;14.01.2001;2703;387
28.362;21.01.2001;2710;388
28.439;28.01.2001;2717;389
28.668;04.02.2001;2724;390
28.662;11.02.2001;2731;391
28.748;18.02.2001;2738;392
28.646;25.02.2001;2745;393
28.651;04.03.2001;2752;394
28.657;11.03.2001;2759;395
28.753;18.03.2001;2766;396
28.741;25.03.2001;2773;397
28.833;01.04.2001;2780;398
28.841;08.04.2001;2787;399
28.871;15.04.2001;2794;400
28.841;22.04.2001;2801;401
28.953;29.04.2001;2808;402
28.961;06.05.2001;2815;403
29.075;13.05.2001;2822;404
29.078;20.05.2001;2829;405
29.150;27.05.2001;2836;406
29.146;03.06.2001;2843;407
29.061;10.06.2001;2850;408
29.061;17.06.2001;2857;409
29.127;24.06.2001;2864;410
29.187;01.07.2001;2871;411
29.189;08.07.2001;2878;412
29.262;15.07.2001;2885;413
29.265;22.07.2001;2892;414
29.345;29.07.2001;2899;415
29.320;05.08.2001;2906;416
29.344;12.08.2001;2913;417
29.353;19.08.2001;2920;418
29.403;26.08.2001;2927;419
29.430;02.09.2001;2934;420
29.450;09.09.2001;2941;421
29.408;16.09.2001;2948;422
29.447;23.09.2001;2955;423
29.498;30.09.2001;2962;424
29.488;07.10.2001;2969;425
29.539;14.10.2001;2976;426
29.691;21.10.2001;2983;427
29.741;28.10.2001;2990;428
29.711;04.11.2001;2997;429
29.820;11.11.2001;3004;430
29.935;18.11.2001;3011;431
29.895;25.11.2001;3018;432
30.059;02.12.2001;3025;433
30.315;09.12.2001;3032;434
30.241;16.12.2001;3039;435
30.485;23.12.2001;3046;436
30.595;30.12.2001;3053;437
30.445;06.01.2002;3060;438
30.580;13.01.2002;3067;439
30.597;20.01.2002;3074;440
30.720;27.01.2002;3081;441
30.805;03.02.2002;3088;442
30.857;10.02.2002;3095;443
30.935;17.02.2002;3102;444
31.007;24.02.2002;3109;445
31.007;03.03.2002;3116;446
31.081;10.03.2002;3123;447
31.161;17.03.2002;3130;448
31.189;24.03.2002;3137;449
31.188;31.03.2002;3144;450
31.198;07.04.2002;3151;451
31.167;14.04.2002;3158;452
31.179;21.04.2002;3165;453
31.224;28.04.2002;3172;454
31.204;05.05.2002;3179;455
31.243;12.05.2002;3186;456
31.269;19.05.2002;3193;457
31.314;26.05.2002;3200;458
31.394;02.06.2002;3207;459
31.394;09.06.2002;3214;460
31.398;16.06.2002;3221;461
31.454;23.06.2002;3228;462
31.524;30.06.2002;3235;463
31.578;07.07.2002;3242;464
31.552;14.07.2002;3249;465
31.519;21.07.2002;3256;466
31.534;28.07.2002;3263;467
31.524;04.08.2002;3270;468
31.554;11.08.2002;3277;469
31.577;18.08.2002;3284;470
31.612;25.08.2002;3291;471
31.614;01.09.2002;3298;472
31.639;08.09.2002;3305;473
31.645;15.09.2002;3312;474
31.650;22.09.2002;3319;475
31.695;29.09.2002;3326;476
31.670;06.10.2002;3333;477
31.684;13.10.2002;3340;478
31.714;20.10.2002;3347;479
31.769;27.10.2002;3354;480
31.804;03.11.2002;3361;481
31.818;10.11.2002;3368;482
31.819;17.11.2002;3375;483
31.843;24.11.2002;3382;484
31.843;01.12.2002;3389;485
31.843;08.12.2002;3396;486
31.799;15.12.2002;3403;487
31.787;22.12.2002;3410;488
31.879;29.12.2002;3417;489
31.807;05.01.2003;3424;490
31.799;12.01.2003;3431;491
31.771;19.01.2003;3438;492
31.824;26.01.2003;3445;493
31.801;02.02.2003;3452;494
31.606;09.02.2003;3459;495
31.522;16.02.2003;3466;496
31.561;23.02.2003;3473;497
31.537;02.03.2003;3480;498
31.379;09.03.2003;3487;499
31.368;16.03.2003;3494;500
31.357;23.03.2003;3501;501
31.261;30.03.2003;3508;502
31.261;06.04.2003;3515;503
31.166;13.04.2003;3522;504
31.076;20.04.2003;3529;505
31.086;27.04.2003;3536;506
31.076;04.05.2003;3543;507
30.871;11.05.2003;3550;508
30.691;18.05.2003;3557;509
30.701;25.05.2003;3564;510
30.586;01.06.2003;3571;511
30.521;08.06.2003;3578;512
30.301;15.06.2003;3585;513
30.317;22.06.2003;3592;514
30.281;29.06.2003;3599;515
30.398;06.07.2003;3606;516
30.398;13.07.2003;3613;517
30.260;20.07.2003;3620;518
30.380;27.07.2003;3627;519
30.389;03.08.2003;3634;520
30.301;10.08.2003;3641;521
30.252;17.08.2003;3648;522
30.485;24.08.2003;3655;523
30.650;31.08.2003;3662;524
30.697;07.09.2003;3669;525
30.501;14.09.2003;3676;526
30.496;21.09.2003;3683;527
30.427;28.09.2003;3690;528
30.086;05.10.2003;3697;529
30.026;12.10.2003;3704;530
29.883;19.10.2003;3711;531
29.918;26.10.2003;3718;532
29.758;02.11.2003;3725;533
29.786;09.11.2003;3732;534
29.775;16.11.2003;3739;535
29.716;23.11.2003;3746;536
29.613;30.11.2003;3753;537
29.380;07.12.2003;3760;538
29.262;14.12.2003;3767;539
29.291;21.12.2003;3774;540
29.220;28.12.2003;3781;541
28.927;04.01.2004;3788;542
28.762;11.01.2004;3795;543
28.493;18.01.2004;3802;544
28.510;25.01.2004;3809;545
28.509;01.02.2004;3816;546
28.416;08.02.2004;3823;547
28.486;15.02.2004;3830;548
28.487;22.02.2004;3837;549
28.526;29.02.2004;3844;550
28.484;07.03.2004;3851;551
28.487;14.03.2004;3858;552
28.468;21.03.2004;3865;553
28.493;28.03.2004;3872;554
28.510;04.04.2004;3879;555
28.614;11.04.2004;3886;556
28.897;18.04.2004;3893;557
28.985;25.04.2004;3900;558
28.933;02.05.2004;3907;559
29.061;09.05.2004;3914;560
28.952;16.05.2004;3921;561
29.002;23.05.2004;3928;562
29.020;30.05.2004;3935;563
28.999;06.06.2004;3942;564
28.997;13.06.2004;3949;565
